index,MORGAN_BTSR
0,10000010001000001000000100001000110000011000010100000010011000101100000011010010010101111000000110001010000100000000001010100100
1,11110010001000000000000000001000010000010100100100000010000000101000000010110100010101100001000110001010010011000000000000100100
2,10000100001000000000010010011010010000010111000100010010101000011000001000011100111000100011000000101010000100010100000100000100
3,11000000101000000000000010110000110000110000000110000000000101001000010010000000110000100000001010011101000000000000010000000100
4,10000000111100001000000011011111000000010000101000000010010000001001010100100000010000100000000000101000000100010100000111100100
5,11101000101000000101001001010010111100110110000001001011000000000000010000100000100010000000100000001000010000010010000000000100
6,00101000001100101000000000000000010000110000100000000011000000000010110000010010110000100000000000001010010011000000000000110000
7,00010000001100001100000101000011010100010000000000000010101000000001000110100000111000100000000000001000000001000100001001101101
8,11010001001110101000000010000010111100110011000000000010010010000000100000000000110000100000001000101010010100011100000001110100
9,10010000101000110000000010000000010000110001100010100001101100011110011000011100110000101000010000101010110101000100001000000100
10,00001100001010010001001001000000010001011110000101000000000100101000000001000000110010101010000001001000000100000001100001100000
11,10000000100000000000100000000001010010110000000000110011001101010100000001100010110010101010001101001000000100000000000001100000
12,11000000001000100001010010001001011100010000010100000000000001011000000001001101011010100000000000001010000000001100010000100101
13,10101000001000101000001000111001010100111111000000000010011000101000001110010000110001100001000010001010010100010000000110000100
14,10110010101000000001000000000001001011011000110010010010000100100100010001000000110001110111000000001010000100000000010100100111
15,00000000001010000001011001000000001100010000100000010011001000000000000000000000011000100000000000001000100000000100000110000100
16,10100000101000110000000100101010010010010000110100000010011001001010000110000101010000100001000010001010110000010010000000100100
17,10000100001000000000000100100010000100110000000100000001000000011010000000000010110000101000000000001000100100000100100000110010
18,00000000010000000010000000001111011100011010110001000110001000010000000000110000110010100010000111001101010001000000100100111010
19,10100001111000010001000010000100011110110100010001000000111000011000000000100000110010100000001001001010000110000010100000000100
20,00000101101000000000000000000001110000110100101000000010011000010000000011000000100000000110100000011000000100010010000010100100
21,01001101110000001001000000010001010100111000010100000100101000011001000100100000110011100010101001101001000100000000000000100000
22,11000100001000000001000000010100010000010010000000101100000000011101000000100010010000100000001000011110010010000000010000100101
23,10000000110100001000000000000011111100110000000000000100011100010000010100100000111010100010000001101000000100010100000000100000
24,11000000001010000101001000011000010010010001001001000000001001100010111000110000110000001000000000001011010110100100010001100101
25,11110000101000110000000010110000010000010000000010100001101100011110100000010000010100100000000000001010110100010000000000000100
26,01100001001100001000000000000110011000010001100000100000000000000000001000011011010000000100011010111000000000000100001001110111
27,01100001001100001000000000000110011000010001100000100000000000000000001000011011010000000100011010111000000000000100001001110111
28,10000100001000000011000100100110000001010000000001000011000000010100010000100000110000100010000000001000100100100001000000110101
29,11000101001010010010000010000000010000010100000100000100001000010000000000010000110001110000000000101000000100000000110101100100
30,10000100001001000001000010000010010001010100000111000101001000010110000001010010110001111010000000101000000100000000110100100100
31,10000100001000000000000011010000010110110100100100100111010000011001000000000000110010100000001000001000000111000100000000000100
32,10000000001000001100000010010000010000010000000000100010101000010000100000010010010000100010000000001010000110010000001101000100
33,10001000001001101000000010000110011000010000010001101011000010001010000011000010010010100000100000001000010101000000000101010100
