,PUBCHEM_SID
0,842238
1,842238
2,842238
3,842238
4,842238
5,842250
6,842250
7,842250
8,842250
9,842250
10,842319
11,842319
12,842319
13,842319
14,842319
15,842408
16,842408
17,842408
18,842408
19,842408
20,842584
21,842584
22,842584
23,842584
24,842584
25,842618
26,842618
27,842618
28,842618
29,842618
30,842697
31,842697
32,842697
33,842697
34,842697
35,842789
36,842789
37,842789
38,842789
39,842789
40,842891
41,842891
42,842891
43,842891
44,842891
45,842953
46,842953
47,842953
48,842953
49,842953
50,842968
51,842968
52,842968
53,842968
54,842968
55,843048
56,843048
57,843048
58,843048
59,843048
60,843170
61,843170
62,843170
63,843170
64,843170
65,843289
66,843289
67,843289
68,843289
69,843289
70,843293
71,843293
72,843293
73,843293
74,843293
75,843295
76,843295
77,843295
78,843295
79,843295
80,843298
81,843298
82,843298
83,843298
84,843298
85,843422
86,843422
87,843422
88,843422
89,843422
90,843526
91,843526
92,843526
93,843526
94,843526
95,843611
96,843611
97,843611
98,843611
99,843611
100,843632
101,843632
102,843632
103,843632
104,843632
105,843662
106,843662
107,843662
108,843662
109,843662
110,843808
111,843808
112,843808
113,843808
114,843808
115,843813
116,843813
117,843813
118,843813
119,843813
120,843859
121,843859
122,843859
123,843859
124,843859
125,843987
126,843987
127,843987
128,843987
129,843987
130,844035
131,844035
132,844035
133,844035
134,844035
135,844042
136,844042
137,844042
138,844042
139,844042
140,844043
141,844043
142,844043
143,844043
144,844043
145,844085
146,844085
147,844085
148,844085
149,844085
150,844118
151,844118
152,844118
153,844118
154,844118
155,844156
156,844156
157,844156
158,844156
159,844156
160,844203
161,844203
162,844203
163,844203
164,844203
165,844275
166,844275
167,844275
168,844275
169,844275
170,844373
171,844373
172,844373
173,844373
174,844373
175,844442
176,844442
177,844442
178,844442
179,844442
180,844455
181,844455
182,844455
183,844455
184,844455
185,844570
186,844570
187,844570
188,844570
189,844570
190,844622
191,844622
192,844622
193,844622
194,844622
195,844690
196,844690
197,844690
198,844690
199,844690
200,844782
201,844782
202,844782
203,844782
204,844782
205,844835
206,844835
207,844835
208,844835
209,844835
210,844873
211,844873
212,844873
213,844873
214,844873
215,844932
216,844932
217,844932
218,844932
219,844932
220,844963
221,844963
222,844963
223,844963
224,844963
225,845093
226,845093
227,845093
228,845093
229,845093
230,845164
