index,MORGAN_BTSTR,PUBCHEM_ACTIVITY_OUTCOME,Inhibition Observed
7,1100001011110010110101111000100111001011100101010000001011100110,1,1
12,1111001010110100010101100001100111001011010011010000001000100110,2,1
17,1000011000111100111001101011101001101011011100010101001110100101,1,1
22,1100010010100000110000101011001011011111000000011000010000010100,2,1
27,1001010111110000110000101101111100101001000110110100001111100100,1,1
32,1110110010100000110110100101101011111011011000010110101100000100,2,1
37,0010110000110010110000100000000001001011010011000000001100110000,0,1
42,0001000110110000111000110100001101011001000001000100001011101101,1,1
47,1101100100111010110000101000001011111011011100011100001001111100,0,1
52,1111011010111111110000101000010001101011110111001110001110110101,0,1
57,1000110001101001110110101110000001001101111100010101100001110010,2,1
62,1100000011100010110010101010001101001011000100000011001101110101,0,1
67,1100000001101111011111101000100101111011000001011100010000100101,0,1
72,1010101110110010110001100011100111011011111100010000001111100110,1,1
77,1111011011100000110101110111000100101111100111001001011100110111,2,1
82,0000000000101000011101100100000000111001100010000101001110100100,1,1
87,1010000110100111010000110011101011001011110011010010001001100100,0,1
92,1010010000100010110000111010001000011011100100010100100100110011,2,1
97,0000000001110000111010100010111111111101111011000100111100111011,2,1
102,1010000111100001110110101000011001111011010111000110100011100101,1,1
107,0000010111100000100000000110100111011011010110110010001011100101,1,1
112,1101110111100000110111100011101101111011100101010000010010100001,2,1
117,1101010000100010010100100001011001011111011010000010110000100101,2,1
122,1000010111110000111010100010001111111011000100010100010001110001,0,1
127,1110111000111000110100101001100001001011010110100100010001100111,1,1
132,1111100010110011010100101011000001001011110100011010000110110101,2,1
137,0110001100111011110000000100011011111001000110000110001001110111,2,1
142,0110001100111011110000000100011011111001000110000110001001110111,0,1
147,1100010000100000111100110010011000001101100100100101001100110101,1,1
152,1100010100111001111001111000000001101001010100010000110101100101,2,1
157,1110010001110110110101111010001001101101010100011100110100100101,1,1
162,1001010000100000110010101101001001011011010111010110011101000101,0,0
167,1000100000110010110000101011000001001011000110010010001111100101,0,1
172,1010100011100110110010101000111001101001010101000110101101011100,0,1
177,1110010010110011110100100001001111011001000000000100001111000101,0,1
182,1111100001101001110100100000101000001001000001110110011101110101,2,1
187,1011110011100000010001101010001101101001000111100010010101110100,0,1
192,1010010011100010011110010000101001011111100100010011000101110101,0,1
197,1011100001100000100000000000111000100001110001100100001100011100,2,1
202,1010101010111010111001100110001010101011010110110110011100100100,2,1
207,1110010100110011110000101000000001001011010011010010110110100101,2,1
212,1001100000100101110000101000111001001011010001010010100000110100,1,1
217,1001010100100111110101101011010100011101101100000100001100001101,2,1
222,1001000010100011110100100100011101101011001000100100011010010111,1,1
227,1000000010101110010000100100011111011001011000011110000000111110,0,1
232,0010100110111011110100110000001000001001100100100100010110010100,0,1
237,1100010000110000110100101001101011011011010000000010111100100101,1,1
242,0110100011110110111110111111000011101001110101111110000100110011,0,1
247,1110001010100000110010101011000101011101110000001011010100110111,2,1
252,1010100101100100111110110110000011101001110101111100000100110011,2,1
257,1100101000100010111110110111101001101001110001111100000000110010,1,1
262,1010000010000010111000101010010101011010011101010010000000100101,0,1
267,1011110011100111111100111110001001101001100100111110100110110101,0,1
272,1100010100001010111100100011111111111011101000001101011010011001,2,1
277,1000110110100000110000111000001110101111010001010010011010011100,1,1
282,1011001001100001111100110111000001111001100010111100000100110100,1,1
287,0111001001000000110101110010000111111010100100011000111100100001,1,1
292,1010000000111001111101101000001000001111100101010100001110011101,0,1
297,1010100011100011110111100010000001011101100101010001001100100101,1,1
302,0110100000011100101000000000001101101000000001001100010100111001,1,1
307,1100000000110000011100100000000010001000100010000110000000101011,0,1
312,1110011100100010110010100110011001101010111011011100011101100110,0,1
317,1011000011100000110011101010101011101101111011110010101101100111,2,1
322,1111001010110010010010101011011011001011001011010000010001010001,2,1
327,1011010001100101110101110010000001011000001110010011110100100001,0,1
332,1100011000110000111111101010101001101011010010010110110100100101,0,1
337,1001011111100000110110110010110000001111011001010110000000100001,0,1
342,1101010010101001110100110011011011111101011000010000110011100011,2,1
347,1010111000111000110100101110000011001011000000011010111001110000,1,1
352,1110000011100110110100111001011101001101011101000100101101101000,0,0
357,1110000011110100011100101011001111001101000100010000010111101101,2,1
362,1000110011111100111010101001011101101011010100111100110000110101,1,1
367,1011100001100000110010100001011101101111010111010100110100110100,1,1
372,1110100011110110011000100101001011001001000010110100100101000101,0,0
377,1010101000110000110000100000001000101001100100010100001001000001,1,1
382,1100010001110000110001100001000101101001110101011000110000100100,2,1
387,1001111010111001110110100110101010001011101100010100000000100101,2,1
392,1000000010110000111101101001100101101001010100111100110000100100,1,1
397,1100110011100100111010100011011001101111011000111100100000010111,0,1
402,1010110111101000110010101000111011011011010000010100100011000100,1,1
407,1100010011101000110111101100000011111111001101110010000010111100,0,1
412,1110010011101000110000101001000011111101001100110010010110110100,1,1
417,1110011001100110111010100000011001111001110110011010100100000100,0,1
422,1100000010010010100001110001010101101010100000100111000010101101,1,1
427,1101011101100111110100101010011101101001000100100010001101100111,1,1
432,1010101010111001110100110001111001101011010101011000111011111101,0,0
437,1010001011101111110101101000001001101101110100010100001111110101,1,1
442,1000000010110011010101101101100111011011010100000100111000010111,0,1
447,1001100110110010110001100100110111001011000100000100011010100111,2,1
452,1101100111110010110001000110110011001011000100000110101101100110,1,1
457,1000110010000000110111101000100010011011010110111101101000100001,1,1
462,1111100000100100110110100001001000101001011011000110010100110101,1,1
467,1001010110110001110100101000001100101011000100111100001011110101,0,1
472,1111000101100000010000101110010111001111010101111000001100110010,2,1
477,1010010110100010110110110000000101001001010010110110001110000100,1,1
482,1110110010110000010100100100111101001001000100110000110000110001,2,1
487,1011011000111000110011100101101111101011010110010111011100100111,1,1
492,1011110101110100110000100000011111101101110011010000000100111100,1,1
497,1011100000101000111010100000011101111001010111010010001100111100,0,1
502,1101100011110000011010100001001001101011010001000100100110010100,2,1
507,1101000001100010010001100001001111111001000101000000100100110100,2,1
512,1110010001100111110100101011000001011101000101100110011100000111,0,1
517,0110000100100000001110011101001101101001111010010100000001110001,0,1
522,1011011000100010110100111110000101001011000010010110001011100000,1,1
527,1000100100100111110000100001000001001100110100011101010000101001,0,0
532,1111100001100100111001100000001101101010100100111110111111101000,2,1
537,1001100001100000111000000101101011111101111110011001101000101011,1,1
542,1101000010101010011100101000100011111001000001111110010000101101,1,1
547,1000110000100001110000100110101100101011010101010000111110011101,0,1
552,1101110001101010111011100000100101111101100111010010000000110111,0,1
557,1111001010101010011100100010100011111001001001001010010000110101,1,1
562,1000000000010001010000100001001000011000001100000000000001010000,2,1
567,0010001010111000010101100010001001001001010000110100010000110000,0,1
572,1100000000100010110000100011000111111011010100000000010000100101,0,1
577,1101000100100000110100101011000011111111000100101100010001010101,0,0
582,1101110000100011010000100001001101101011010111000000010100110100,0,1
587,1101010011100100010010101000000101101011010110010011000000110110,1,1
592,1110010110110010110100100000101000101001000100110110000111000100,0,1
597,1001000001100000110010100110001000001000111001111110001010110001,1,1
602,1011100001111110110010111001011111001101110110010001101100111010,0,1
607,1111111011100110110000101011000001001101010100111001010010110011,2,1
612,1000101010110000110000100011101001101011011111010010001101101101,0,1
617,1000101011100000111100000000001001001110000100111110000111110000,1,1
622,1010110011100110110000111000010001001101000110010101000100100001,0,1
627,0010010100100100111010101000100101001001000100001000001001100110,0,1
632,1100010011100100010110101000100101111111100100101100000110100101,0,1
637,1100010011001001111000100010100011111001011101011000001100100101,1,1
642,1100010010001011011001110000100111111001000111000000010000100100,0,1
647,1110110000001011111000110010101001111011011111010010100100110110,0,1
652,1010000011100101110110101000100001111011000110000110100110100101,0,1
657,1100000011110100110110101000100001111011000010000110010010110101,2,1
662,1000010110110000010101111100000111001011001100111110001000101101,0,0
667,1010111011110110110001101000101011001001011000110100001110101101,0,1
672,1111010010111100010100101001100011011001001100101100001000100100,1,1
677,1100010000101001110001100010000011001000001000010000110000110101,1,1
682,0110100000100010111110100111001001111011110110001000010100100100,2,1
687,1000100000100000010110100010001000011001000110010001100011101000,0,0
692,1000110101101010111100101001101100111011010000000100001000100101,2,1
697,1100011111100000110000101100100101001001010100110000010000110100,1,1
702,0110100010100011111100101011000101101101000101010010111101100010,1,1
707,1000111010100000111100111000000011001001010000111101100000100100,2,1
712,1100000011110000111011110001100001101001010100000010100000010100,1,1
717,1110100011110011110010100001001001111001000100010100000001100001,1,1
722,1101010010110011110100101010001101001111010100000000011001100101,2,1
727,1111000010110011110100101010001001001111010100000100011001100101,1,1
