,index,Inhibition Observed,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond
0,5,1,1.0,4.0,70.54190000000003,253.113649848,17.0,13.0,4.0,2.0,3.0,3.1644000000000005,52.32,17.0,5.0,24.0,2.0,0.0,10.0
1,10,1,0.0,4.0,87.39800000000002,315.059696128,21.0,16.0,5.0,3.0,4.0,4.233400000000003,30.71,21.0,17.0,12.0,0.0,0.0,34.0
2,15,1,1.0,2.0,61.94340000000001,297.96031084400005,14.0,10.0,4.0,1.0,2.0,1.6834799999999999,66.88,14.0,6.0,10.0,4.0,2.0,12.0
3,20,1,2.0,5.0,54.682,222.07529018,16.0,9.0,7.0,2.0,2.0,-0.013380000000000225,100.35000000000001,16.0,9.0,10.0,4.0,0.0,20.0
4,25,1,1.0,2.0,72.16420000000002,295.082013284,21.0,15.0,6.0,2.0,4.0,3.987820000000002,38.33,21.0,12.0,18.0,2.0,0.0,24.0
5,30,1,2.0,4.0,93.4514,347.049525368,23.0,16.0,7.0,3.0,5.0,3.955700000000002,67.00999999999999,23.0,15.0,16.0,2.0,0.0,32.0
6,35,1,0.0,5.0,66.22500000000004,257.068807832,19.0,14.0,5.0,3.0,2.0,1.827,57.650000000000006,19.0,12.0,16.0,2.0,0.0,24.0
7,40,1,1.0,3.0,98.52220000000003,333.136493468,25.0,21.0,4.0,3.0,6.0,5.129900000000004,47.56,25.0,18.0,16.0,2.0,0.0,36.0
8,45,1,2.0,3.0,65.43630000000002,219.137162164,16.0,12.0,4.0,2.0,2.0,1.3579999999999999,72.35,16.0,6.0,20.0,2.0,0.0,12.0
9,50,1,2.0,5.0,70.68210000000002,270.111675688,20.0,14.0,6.0,3.0,2.0,2.3442800000000004,100.86,20.0,10.0,20.0,2.0,2.0,20.0
10,55,1,1.0,6.0,74.69740000000002,310.01789089199997,20.0,13.0,7.0,2.0,2.0,2.656180000000001,85.34,20.0,5.0,24.0,6.0,2.0,10.0
11,60,1,1.0,3.0,61.45640000000001,195.079647288,15.0,12.0,3.0,3.0,0.0,2.365199999999999,51.8,15.0,14.0,2.0,0.0,0.0,32.0
12,65,1,2.0,7.0,89.14190000000002,348.089225992,24.0,15.0,9.0,2.0,6.0,1.38082,114.03999999999999,24.0,12.0,20.0,6.0,0.0,24.0
13,70,1,2.0,2.0,85.40940000000002,275.105862036,21.0,17.0,4.0,4.0,1.0,3.827700000000001,57.78,21.0,17.0,6.0,2.0,0.0,40.0
14,75,1,1.0,2.0,84.90270000000004,285.11873522800005,20.0,17.0,3.0,2.0,5.0,3.964520000000003,29.1,20.0,12.0,16.0,2.0,0.0,24.0
15,80,1,1.0,4.0,91.17170000000004,317.156183356,22.0,17.0,5.0,2.0,5.0,4.259000000000003,54.88,22.0,11.0,22.0,2.0,0.0,22.0
16,85,1,1.0,4.0,80.16380000000004,319.121986276,23.0,17.0,6.0,3.0,4.0,2.2891,66.84,23.0,6.0,32.0,6.0,0.0,12.0
17,90,1,0.0,4.0,86.66400000000002,306.067224032,22.0,17.0,5.0,4.0,2.0,4.111700000000002,43.08,22.0,21.0,6.0,0.0,0.0,44.0
18,95,1,0.0,2.0,86.26600000000005,293.152812228,22.0,18.0,4.0,4.0,2.0,3.5565200000000026,26.79,22.0,12.0,24.0,2.0,0.0,24.0
19,100,1,1.0,2.0,67.66270000000003,235.103085164,16.0,13.0,3.0,2.0,4.0,2.754220000000001,29.1,16.0,6.0,20.0,2.0,0.0,12.0
20,105,1,0.0,4.0,93.85800000000003,317.10519334,24.0,20.0,4.0,3.0,3.0,4.152100000000003,63.23,24.0,16.0,12.0,4.0,2.0,34.0
21,110,1,0.0,6.0,77.28400000000002,297.048444476,21.0,14.0,7.0,4.0,2.0,3.0539000000000005,55.97,21.0,20.0,6.0,0.0,0.0,42.0
22,115,1,1.0,1.0,60.90120000000004,203.131014164,15.0,13.0,2.0,2.0,2.0,2.667420000000001,29.1,15.0,6.0,18.0,2.0,0.0,12.0
23,120,1,1.0,4.0,89.27370000000003,311.143390416,23.0,18.0,5.0,3.0,4.0,3.022800000000001,46.92,23.0,16.0,14.0,2.0,0.0,34.0
24,125,1,0.0,4.0,92.30100000000003,345.973439236,22.0,16.0,6.0,4.0,1.0,4.883000000000002,34.370000000000005,22.0,19.0,6.0,2.0,0.0,42.0
25,130,1,1.0,3.0,84.95620000000004,308.075011844,20.0,15.0,5.0,2.0,2.0,4.654720000000003,41.99,20.0,11.0,18.0,2.0,0.0,22.0
26,135,1,0.0,4.0,74.81800000000004,277.113649848,19.0,15.0,4.0,2.0,4.0,3.6528800000000023,50.09,19.0,5.0,26.0,2.0,2.0,10.0
27,140,1,0.0,5.0,77.37950000000002,300.030169828,21.0,15.0,6.0,3.0,2.0,2.845200000000001,65.1,21.0,17.0,8.0,4.0,0.0,34.0
28,145,1,1.0,2.0,90.18870000000004,308.15247788,23.0,19.0,4.0,3.0,4.0,2.9496200000000012,49.410000000000004,23.0,12.0,22.0,4.0,0.0,24.0
29,150,1,2.0,3.0,78.29550000000005,271.120843404,20.0,16.0,4.0,2.0,6.0,3.7540000000000022,58.56,20.0,12.0,16.0,2.0,0.0,24.0
30,155,1,1.0,8.0,91.05980000000004,335.19573966,24.0,16.0,8.0,3.0,4.0,-0.473499999999998,85.29,24.0,9.0,28.0,4.0,0.0,20.0
31,160,0,1.0,3.0,84.93770000000004,273.12659748000004,21.0,18.0,3.0,3.0,3.0,4.279580000000003,48.71,21.0,16.0,10.0,0.0,2.0,34.0
32,165,1,1.0,5.0,75.38120000000002,319.97891854,19.0,11.0,8.0,2.0,3.0,2.945920000000001,72.05,19.0,9.0,16.0,4.0,0.0,20.0
33,170,1,1.0,4.0,81.03270000000002,297.09135484399997,22.0,16.0,6.0,3.0,3.0,2.1742999999999997,63.99,22.0,16.0,10.0,4.0,0.0,34.0
34,175,1,4.0,6.0,56.49420000000004,238.087494676,15.0,9.0,6.0,1.0,3.0,-1.0721,90.15,15.0,0.0,30.0,0.0,0.0,0.0
