,index,Inhibition Observed,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond
0,6,1,0.0,4.0,66.03850000000003,246.089208928,18.0,14.0,4.0,2.0,6.0,3.0698000000000016,48.67,18.0,11.0,14.0,2.0,0.0,22.0
1,11,1,0.0,3.0,79.61700000000003,316.021125136,19.0,15.0,4.0,3.0,2.0,4.080820000000003,26.53,19.0,15.0,10.0,0.0,0.0,32.0
2,16,1,1.0,4.0,80.66930000000004,337.103811348,24.0,16.0,8.0,3.0,2.0,2.950000000000001,57.83,24.0,11.0,26.0,4.0,0.0,22.0
3,21,1,1.0,4.0,90.35770000000002,315.086389544,21.0,16.0,5.0,3.0,4.0,4.8408900000000035,33.61,21.0,16.0,12.0,2.0,0.0,32.0
4,26,1,0.0,6.0,65.77490000000002,268.117154992,19.0,11.0,8.0,2.0,2.0,0.5777000000000001,90.5,19.0,5.0,26.0,4.0,0.0,10.0
5,31,1,1.0,4.0,83.56520000000003,299.115758024,22.0,17.0,5.0,2.0,7.0,2.915300000000001,64.63,22.0,12.0,18.0,4.0,0.0,24.0
6,36,1,2.0,2.0,76.75840000000005,262.168127944,19.0,15.0,4.0,2.0,3.0,3.4578200000000017,50.36,19.0,6.0,26.0,2.0,0.0,12.0
7,41,1,1.0,1.0,75.73770000000005,245.177964356,18.0,16.0,2.0,2.0,4.0,4.212340000000003,29.1,18.0,6.0,24.0,2.0,0.0,12.0
8,46,1,2.0,4.0,77.06200000000004,293.126322708,21.0,15.0,6.0,1.0,7.0,2.3026999999999997,92.7,21.0,6.0,24.0,6.0,0.0,12.0
9,51,1,0.0,3.0,54.854000000000006,295.923065888,15.0,8.0,7.0,2.0,0.0,3.7810200000000007,25.78,15.0,9.0,12.0,0.0,0.0,20.0
10,56,1,1.0,4.0,88.81770000000003,308.109567512,22.0,17.0,5.0,3.0,3.0,4.047140000000002,65.36,22.0,15.0,14.0,0.0,2.0,32.0
11,61,1,2.0,4.0,93.78440000000002,335.0728476560001,24.0,18.0,6.0,3.0,4.0,2.4824799999999994,74.15,24.0,12.0,20.0,6.0,2.0,24.0
12,66,1,1.0,5.0,65.6057,295.068094536,21.0,12.0,9.0,3.0,2.0,1.5332999999999997,76.46000000000001,21.0,15.0,14.0,2.0,0.0,30.0
13,71,1,1.0,3.0,88.39850000000004,336.09439162399997,23.0,16.0,7.0,2.0,5.0,2.5388200000000003,66.48,23.0,12.0,18.0,6.0,0.0,24.0
14,76,1,1.0,5.0,83.26460000000003,335.057591516,23.0,14.0,9.0,2.0,6.0,1.2753999999999999,123.61000000000001,23.0,12.0,16.0,8.0,0.0,24.0
15,81,1,1.0,5.0,88.22970000000005,319.135447912,22.0,16.0,6.0,2.0,5.0,3.532700000000003,64.11,22.0,11.0,22.0,2.0,0.0,22.0
16,86,1,1.0,5.0,91.98920000000003,346.07203463999997,24.0,17.0,7.0,2.0,5.0,4.155900000000003,76.99,24.0,12.0,20.0,6.0,0.0,24.0
17,91,1,1.0,4.0,69.53520000000003,262.131742436,19.0,14.0,5.0,2.0,4.0,1.6873,68.28999999999999,19.0,6.0,24.0,4.0,0.0,12.0
18,96,1,1.0,5.0,85.50710000000004,313.10625596,23.0,16.0,7.0,2.0,6.0,2.43232,93.83,23.0,12.0,18.0,6.0,0.0,24.0
19,101,1,1.0,3.0,86.38270000000004,319.097521116,22.0,17.0,5.0,2.0,6.0,3.4323000000000023,47.56,22.0,12.0,20.0,2.0,0.0,24.0
20,106,1,0.0,6.0,85.06900000000003,314.065988448,21.0,15.0,6.0,4.0,2.0,3.7380400000000025,51.56,21.0,15.0,16.0,0.0,0.0,32.0
21,111,1,0.0,2.0,82.88200000000003,272.069342512,18.0,16.0,2.0,3.0,0.0,4.866800000000003,0.0,18.0,12.0,16.0,0.0,0.0,24.0
22,116,1,1.0,1.0,91.97420000000005,345.07282636,21.0,18.0,3.0,2.0,2.0,5.307320000000004,29.1,21.0,12.0,18.0,2.0,0.0,24.0
23,121,1,1.0,5.0,89.53250000000006,342.16132831199997,23.0,16.0,7.0,2.0,7.0,1.3126399999999998,67.87,23.0,6.0,32.0,4.0,0.0,12.0
24,126,1,0.0,6.0,64.80800000000002,246.05753194,17.0,11.0,6.0,3.0,3.0,1.9992,52.31,17.0,14.0,8.0,0.0,0.0,30.0
25,131,1,0.0,3.0,92.48650000000002,325.098189812,23.0,18.0,5.0,3.0,3.0,4.110720000000003,38.13,23.0,17.0,14.0,2.0,0.0,34.0
26,136,1,1.0,1.0,63.05170000000003,215.131014164,16.0,14.0,2.0,3.0,0.0,2.5183,29.1,16.0,6.0,22.0,2.0,0.0,12.0
27,141,1,1.0,2.0,83.76170000000006,279.16568542,19.0,16.0,3.0,1.0,3.0,3.9909000000000026,29.1,19.0,6.0,24.0,2.0,0.0,12.0
