,index,Inhibition Observed,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond
0,7,1,0.0,5.0,74.63900000000002,275.072847656,19.0,13.0,6.0,3.0,1.0,1.3841,54.79,19.0,6.0,24.0,6.0,0.0,12.0
1,12,1,1.0,4.0,71.89220000000002,260.007804876,17.0,12.0,5.0,3.0,2.0,3.610100000000001,41.99,17.0,14.0,6.0,2.0,0.0,30.0
2,17,1,1.0,3.0,67.53970000000002,269.982631452,14.0,10.0,4.0,2.0,2.0,2.964800000000001,24.39,14.0,6.0,16.0,2.0,0.0,12.0
3,22,1,3.0,4.0,54.80780000000002,224.079706864,16.0,10.0,6.0,1.0,4.0,-0.3546000000000002,99.52000000000001,16.0,6.0,16.0,4.0,0.0,12.0
4,27,1,0.0,6.0,65.77490000000002,268.117154992,19.0,11.0,8.0,2.0,2.0,0.5777000000000001,90.5,19.0,5.0,26.0,4.0,0.0,10.0
5,32,1,1.0,2.0,67.31420000000003,229.11027872,17.0,14.0,3.0,2.0,2.0,3.457160000000002,42.24,17.0,11.0,12.0,2.0,0.0,22.0
6,37,1,2.0,6.0,80.35360000000004,327.077658264,22.0,14.0,8.0,2.0,4.0,1.4564999999999997,96.3,22.0,6.0,30.0,4.0,0.0,12.0
7,42,1,1.0,2.0,81.51870000000002,291.04846274799996,19.0,15.0,4.0,2.0,5.0,3.773600000000002,29.1,19.0,11.0,14.0,4.0,0.0,22.0
8,47,1,2.0,6.0,90.80410000000003,340.1535405,25.0,18.0,7.0,3.0,5.0,2.5614799999999995,106.18,25.0,11.0,28.0,2.0,2.0,22.0
9,52,1,2.0,7.0,83.19220000000001,326.09027154800003,24.0,17.0,7.0,3.0,3.0,1.3588799999999999,118.71000000000001,24.0,12.0,22.0,4.0,2.0,24.0
10,57,1,1.0,3.0,74.43870000000004,278.0822054,19.0,14.0,5.0,3.0,2.0,4.0645000000000024,50.69,19.0,6.0,26.0,4.0,0.0,12.0
11,62,1,3.0,6.0,92.77120000000004,347.093977024,24.0,16.0,8.0,2.0,7.0,1.9434,104.30999999999999,24.0,12.0,20.0,6.0,0.0,24.0
12,67,1,2.0,8.0,95.92950000000005,343.164439532,25.0,17.0,8.0,3.0,5.0,0.27469999999999956,94.08,25.0,15.0,18.0,4.0,0.0,32.0
13,72,1,1.0,3.0,93.12150000000005,338.16641369199994,23.0,17.0,6.0,2.0,5.0,2.5183400000000002,66.48,23.0,6.0,30.0,6.0,0.0,12.0
14,77,1,1.0,2.0,86.72170000000003,305.06411281199996,20.0,16.0,4.0,2.0,4.0,4.687640000000003,29.1,20.0,12.0,16.0,2.0,0.0,24.0
15,82,1,0.0,4.0,73.97650000000003,267.08954327600003,20.0,16.0,4.0,2.0,5.0,2.8285800000000014,59.32,20.0,12.0,14.0,2.0,2.0,24.0
16,87,1,1.0,4.0,77.60220000000002,276.039105004,18.0,13.0,5.0,2.0,4.0,3.233900000000002,41.46,18.0,11.0,12.0,4.0,0.0,22.0
17,92,1,1.0,3.0,71.8862,311.016077236,21.0,14.0,7.0,3.0,2.0,3.5992000000000015,47.56,21.0,12.0,20.0,2.0,0.0,24.0
18,97,1,1.0,4.0,92.91020000000005,328.178692628,24.0,19.0,5.0,3.0,4.0,3.2669000000000015,60.33,24.0,9.0,28.0,4.0,0.0,20.0
19,102,1,1.0,6.0,72.79140000000002,268.120322224,18.0,11.0,7.0,2.0,2.0,2.1182,80.29,18.0,6.0,24.0,2.0,0.0,12.0
20,107,1,0.0,6.0,82.336,313.018893936,21.0,14.0,7.0,4.0,2.0,3.568200000000001,55.97,21.0,20.0,6.0,0.0,0.0,42.0
21,112,1,1.0,3.0,54.65340000000002,223.07570478,16.0,10.0,6.0,2.0,1.0,-0.1254000000000003,66.64,16.0,6.0,18.0,4.0,0.0,12.0
22,117,1,0.0,4.0,68.97550000000003,276.01893644800003,19.0,14.0,5.0,3.0,2.0,3.2879000000000023,44.760000000000005,19.0,12.0,16.0,2.0,0.0,24.0
23,122,1,0.0,3.0,72.84780000000005,291.06959211599997,18.0,12.0,6.0,1.0,5.0,2.687520000000001,46.61,18.0,6.0,20.0,4.0,0.0,12.0
24,127,1,0.0,5.0,63.56900000000002,230.06261732,16.0,11.0,5.0,3.0,1.0,2.46964,43.08,16.0,14.0,6.0,0.0,0.0,30.0
25,132,1,0.0,4.0,78.87250000000003,286.13174243599997,21.0,16.0,5.0,3.0,3.0,2.8386000000000013,55.57,21.0,11.0,22.0,2.0,0.0,22.0
26,137,1,1.0,3.0,66.34180000000003,252.082015372,17.0,13.0,4.0,2.0,4.0,2.993800000000001,54.370000000000005,17.0,5.0,22.0,4.0,0.0,10.0
27,142,1,0.0,4.0,94.53280000000005,332.155849008,23.0,18.0,5.0,3.0,4.0,2.2494000000000005,40.620000000000005,23.0,10.0,24.0,4.0,0.0,22.0
