,index,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond,level_0,Inhibition Observed,Panel Name
0,0,1.0,4.0,70.44220000000003,306.99563866,18.0,12.0,6.0,2.0,3.0,2.5094200000000004,67.49000000000001,18.0,11.0,12.0,4.0,0.0,22.0,0,1,0
1,1,1.0,4.0,85.06620000000002,290.116761068,22.0,17.0,5.0,3.0,4.0,2.6362000000000005,59.28,22.0,17.0,10.0,4.0,0.0,34.0,1,1,2
2,2,1.0,3.0,85.84310000000004,298.13174243599997,22.0,17.0,5.0,2.0,6.0,3.864620000000002,72.24,22.0,12.0,18.0,4.0,0.0,24.0,2,1,4
3,3,1.0,1.0,59.10170000000003,209.121592352,15.0,12.0,3.0,1.0,4.0,3.200400000000002,29.1,15.0,6.0,16.0,2.0,0.0,12.0,3,1,3
4,4,1.0,5.0,72.26070000000001,269.080041212,20.0,14.0,6.0,3.0,3.0,1.8571999999999997,73.34,20.0,12.0,16.0,4.0,0.0,24.0,4,1,1
5,5,1.0,4.0,70.54190000000003,253.113649848,17.0,13.0,4.0,2.0,3.0,3.1644000000000005,52.32,17.0,5.0,24.0,2.0,0.0,10.0,5,1,0
6,6,0.0,4.0,66.03850000000003,246.089208928,18.0,14.0,4.0,2.0,6.0,3.0698000000000016,48.67,18.0,11.0,14.0,2.0,0.0,22.0,6,1,2
7,7,0.0,5.0,74.63900000000002,275.072847656,19.0,13.0,6.0,3.0,1.0,1.3841,54.79,19.0,6.0,24.0,6.0,0.0,12.0,7,1,4
8,8,1.0,6.0,74.67220000000003,291.067762276,20.0,13.0,7.0,3.0,3.0,2.1239999999999997,73.34,20.0,11.0,20.0,2.0,0.0,22.0,8,1,3
9,9,1.0,4.0,78.61860000000001,304.085935116,22.0,15.0,7.0,2.0,5.0,3.384900000000002,81.47,22.0,12.0,18.0,4.0,0.0,24.0,9,1,1
10,10,0.0,4.0,87.39800000000002,315.059696128,21.0,16.0,5.0,3.0,4.0,4.233400000000003,30.71,21.0,17.0,12.0,0.0,0.0,34.0,10,1,0
11,11,0.0,3.0,79.61700000000003,316.021125136,19.0,15.0,4.0,3.0,2.0,4.080820000000003,26.53,19.0,15.0,10.0,0.0,0.0,32.0,11,1,2
12,12,1.0,4.0,71.89220000000002,260.007804876,17.0,12.0,5.0,3.0,2.0,3.610100000000001,41.99,17.0,14.0,6.0,2.0,0.0,30.0,12,1,4
13,13,1.0,4.0,82.43020000000003,292.070405132,19.0,14.0,5.0,2.0,5.0,3.8344200000000024,41.46,19.0,10.0,16.0,4.0,0.0,20.0,13,1,3
14,14,1.0,4.0,84.98120000000003,332.084016968,23.0,16.0,7.0,3.0,5.0,2.5797000000000008,59.290000000000006,23.0,15.0,16.0,2.0,0.0,32.0,14,1,1
15,15,1.0,2.0,61.94340000000001,297.96031084400005,14.0,10.0,4.0,1.0,2.0,1.6834799999999999,66.88,14.0,6.0,10.0,4.0,2.0,12.0,15,1,0
16,16,1.0,4.0,80.66930000000004,337.103811348,24.0,16.0,8.0,3.0,2.0,2.950000000000001,57.83,24.0,11.0,26.0,4.0,0.0,22.0,16,1,2
17,17,1.0,3.0,67.53970000000002,269.982631452,14.0,10.0,4.0,2.0,2.0,2.964800000000001,24.39,14.0,6.0,16.0,2.0,0.0,12.0,17,1,4
18,18,1.0,4.0,82.11070000000002,291.086389544,19.0,14.0,5.0,3.0,3.0,3.9799900000000026,33.61,19.0,10.0,18.0,4.0,0.0,20.0,18,1,3
19,19,2.0,3.0,82.24360000000001,328.0857187600001,22.0,15.0,7.0,2.0,3.0,4.472220000000002,55.120000000000005,22.0,11.0,22.0,2.0,0.0,22.0,19,1,1
20,20,2.0,5.0,54.682,222.07529018,16.0,9.0,7.0,2.0,2.0,-0.013380000000000225,100.35000000000001,16.0,9.0,10.0,4.0,0.0,20.0,20,1,0
21,21,1.0,4.0,90.35770000000002,315.086389544,21.0,16.0,5.0,3.0,4.0,4.8408900000000035,33.61,21.0,16.0,12.0,2.0,0.0,32.0,21,1,2
22,22,3.0,4.0,54.80780000000002,224.079706864,16.0,10.0,6.0,1.0,4.0,-0.3546000000000002,99.52000000000001,16.0,6.0,16.0,4.0,0.0,12.0,22,1,4
23,23,1.0,5.0,64.64470000000003,249.057197592,17.0,11.0,6.0,3.0,2.0,2.3562899999999996,52.07000000000001,17.0,11.0,14.0,2.0,0.0,22.0,23,1,3
24,24,1.0,7.0,78.57610000000001,326.08941602,22.0,12.0,10.0,2.0,6.0,1.3270199999999999,107.88000000000002,22.0,10.0,22.0,4.0,0.0,20.0,24,1,1
